TITLE="Adjoint Convergence History"
VARIABLES="Iteration" "R_1" "R_2" "R_3" "R_4" "R_5" "Simulation_Time"
ZONE I=100 F=POINT
1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.9393800000E+01
2  0.8598272371E-07  0.3065991234E-06  0.3836493126E-07  0.4187446996E-08  0.5764380661E-06  0.2392920000E+02
3  0.7004380369E-05  0.2504658308E-04  0.3108695726E-05  0.3728190067E-06  0.4712023062E-04  0.3874220000E+02
4  0.6678137983E-05  0.2377334485E-04  0.5131077184E-04  0.4110017637E-05  0.3837643916E-04  0.5355090000E+02
5  0.8264803224E-05  0.2754128628E-04  0.7938812593E-04  0.6956161197E-05  0.3784632278E-04  0.6851610000E+02
6  0.1055050413E-04  0.3165617955E-04  0.9563161070E-04  0.9675995045E-05  0.3543173022E-04  0.8340680000E+02
7  0.1394228659E-04  0.3802309317E-04  0.1034837584E-03  0.1294590719E-04  0.3640820164E-04  0.9826840000E+02
8  0.1801912800E-04  0.4580006485E-04  0.1074410484E-03  0.1678968341E-04  0.3863423523E-04  0.1131097000E+03
9  0.2256415442E-04  0.5445294911E-04  0.1113531470E-03  0.2119057847E-04  0.4053220730E-04  0.1279920000E+03
10  0.2747073630E-04  0.6375743535E-04  0.1167480823E-03  0.2616913445E-04  0.4169596290E-04  0.1429013000E+03
11  0.3267473546E-04  0.7375203120E-04  0.1234451107E-03  0.3179333808E-04  0.4343099037E-04  0.1577216000E+03
12  0.3812374220E-04  0.8418529002E-04  0.1317689573E-03  0.3798836895E-04  0.4410918815E-04  0.1726631000E+03
13  0.4380664111E-04  0.9514445296E-04  0.1405954863E-03  0.4507042242E-04  0.4442031264E-04  0.1875154000E+03
14  0.4961551447E-04  0.1064805925E-03  0.1489578358E-03  0.5305179790E-04  0.4493051055E-04  0.2024451000E+03
15  0.5541855595E-04  0.1179245034E-03  0.1568246023E-03  0.6181602280E-04  0.4549272736E-04  0.2173023000E+03
16  0.6109250506E-04  0.1292216989E-03  0.1643039087E-03  0.7115806045E-04  0.4597873015E-04  0.2325369000E+03
17  0.6653045644E-04  0.1401481854E-03  0.1713939152E-03  0.8081594317E-04  0.4631788765E-04  0.2476141000E+03
18  0.7164319794E-04  0.1505132254E-03  0.1779679367E-03  0.9050151897E-04  0.4649221493E-04  0.2625918000E+03
19  0.7635599930E-04  0.1601517224E-03  0.1838414579E-03  0.9992277572E-04  0.4651712253E-04  0.2774594000E+03
20  0.8060467843E-04  0.1689136895E-03  0.1888424882E-03  0.1088001821E-03  0.4642508451E-04  0.2924335000E+03
21  0.8433408336E-04  0.1766569142E-03  0.1928589891E-03  0.1168803865E-03  0.4625571208E-04  0.3073275000E+03
22  0.8750047727E-04  0.1832454951E-03  0.1958632731E-03  0.1239485295E-03  0.4604962282E-04  0.3222019000E+03
23  0.9007784678E-04  0.1885539167E-03  0.1979202843E-03  0.1298386126E-03  0.4584336249E-04  0.3371895000E+03
24  0.9206731513E-04  0.1924747105E-03  0.1991848785E-03  0.1344407246E-03  0.4566492980E-04  0.3520727000E+03
25  0.9350850997E-04  0.1949274294E-03  0.1998897952E-03  0.1377042245E-03  0.4553146420E-04  0.3669796000E+03
26  0.9449150270E-04  0.1958671235E-03  0.2003240933E-03  0.1396367164E-03  0.4545106050E-04  0.3819043000E+03
27  0.9516735526E-04  0.1952912161E-03  0.2008021320E-03  0.1402994057E-03  0.4542944228E-04  0.3968392000E+03
28  0.9575409870E-04  0.1932443369E-03  0.2016254363E-03  0.1397999474E-03  0.4548018544E-04  0.4117273000E+03
29  0.9653329406E-04  0.1898211198E-03  0.2030430079E-03  0.1382841101E-03  0.4563537176E-04  0.4266557000E+03
30  0.9783128447E-04  0.1851671911E-03  0.2052181828E-03  0.1359274417E-03  0.4595261145E-04  0.4415881000E+03
31  0.9998114473E-04  0.1794785685E-03  0.2082100509E-03  0.1329277118E-03  0.4651456355E-04  0.4565582000E+03
32  0.1032684234E-03  0.1729994512E-03  0.2119738602E-03  0.1294982812E-03  0.4741860262E-04  0.4714923000E+03
33  0.1078745088E-03  0.1660179212E-03  0.2163790337E-03  0.1258618483E-03  0.4875740218E-04  0.4865650000E+03
